feature,setosa,versicolor,virginica,importance
Sepal.Length,0,17.618926413209845,12.155220693106182,9.924715702105342
Sepal.Width,0,3.179849634261804,5.631264390517008,2.937038008259604
Petal.Length,66.15529464323892,100,85.54999989200276,83.90176484508056
Petal.Width,66.88877732913954,93.45016517747858,79.92378460419019,80.08757570360277
